,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020
Barking and Dagenham,904,908,0,918,920,924,930,934,938,938
Barnet,"2,392","2,416","2,434","2,442","2,450","2,456","2,470","2,476","2,482","2,482"
Barnsley,"1,320","1,348","1,368","1,396","1,430","1,460","1,470","1,472","1,494","1,498"
Bath and North East Somerset,420,422,424,430,434,438,0,440,0,440
Bedford Borough,910,938,968,972,978,980,0,0,0,980
Bexley,"1,232","1,242","1,264","1,278","1,286","1,292","1,304","1,308","1,322","1,322"
Birmingham,"5,670","5,760","5,830","5,874","5,914","5,966","6,022","6,116","6,120","6,120"
Blackburn with Darwen,624,644,660,674,678,680,690,698,0,698
Blackpool,884,908,932,946,950,962,976,984,986,986
Bolton,"1,588","1,618","1,644","1,678","1,698","1,702","1,726","1,750",0,"1,750"
"Bournemouth, Christchurch and Poole",816,830,844,866,872,880,882,884,888,888
Bracknell Forest,430,436,438,0,446,452,454,456,0,456
Bradford,"1,706","1,806","1,858","1,916","1,952","1,994","2,048","2,074","2,118","2,128"
Brent,"2,682","2,700","2,724","2,754","2,766","2,772","2,776","2,784","2,788","2,788"
Brighton and Hove,742,752,760,772,0,776,784,798,0,798
Bristol,"1,208","1,224","1,236","1,262","1,266","1,274","1,296","1,308","1,314","1,314"
Bromley,"2,084","2,144","2,178","2,194","2,216","2,234","2,260","2,278","2,288","2,288"
Buckinghamshire,831,836,842,851,860,865,868,868,868,0
Bury,"1,162","1,178","1,200","1,210","1,218","1,234","1,254","1,262","1,264","1,264"
Calderdale,484,486,500,512,514,0,520,536,0,540
Cambridgeshire,764,787,814,836,846,855,871,881,882,882
Camden,"1,142","1,148","1,164","1,174","1,176",0,0,"1,180","1,186","1,186"
Central Bedfordshire,"1,014","1,028","1,036","1,050","1,066",0,"1,084","1,086",0,"1,086"
Cheshire East,"1,714","1,752","1,802","1,830","1,868","1,882","1,916","1,950","1,960","1,960"
Cheshire West and Chester,"1,618","1,646","1,680","1,722","1,738","1,758","1,782","1,790","1,794","1,794"
City of London,0,0,0,0,0,0,0,0,0,32
Cornwall,966,992,"1,000","1,006","1,014","1,032","1,040","1,052","1,058","1,064"
Coventry,"1,314","1,336","1,348","1,388","1,416","1,440","1,448","1,456",0,"1,456"
Croydon,"2,756","2,772","2,814","2,830","2,856","2,866","2,888","2,890","2,892","2,892"
Cumbria,"1,849","1,925","1,969","1,999","2,012","2,017","2,028","2,052","2,062","2,062"
Darlington,546,568,582,594,606,0,634,642,644,646
Derby,988,"1,006","1,008","1,020","1,024","1,028","1,032","1,034","1,036","1,038"
Derbyshire,"1,297","1,319","1,326","1,340","1,350","1,357","1,370","1,377","1,395","1,401"
Devon,692,715,722,734,738,749,753,756,766,767
Doncaster,960,"1,018","1,062","1,122","1,148","1,174","1,176",0,0,"1,176"
Dorset,622,632,638,660,672,676,684,686,0,686
Dudley,"1,482","1,532","1,568","1,632","1,682","1,698","1,720","1,730","1,734","1,734"
Durham,"2,722","2,850","2,942","3,030","3,096","3,122","3,204","3,272","3,292","3,292"
Ealing,"2,104","2,140","2,152","2,176","2,208","2,214","2,220","2,224","2,228","2,228"
East Riding of Yorkshire,"1,160","1,226","1,284","1,322","1,340","1,362","1,394","1,414","1,426","1,436"
East Sussex,568,581,592,597,603,616,624,635,643,646
Enfield,"1,656","1,668","1,672","1,680","1,688","1,690","1,696","1,704",0,"1,704"
Essex,"2,599","2,645","2,679","2,726","2,751","2,767","2,791","2,807","2,813","2,813"
Gateshead,"1,592","1,664","1,708","1,744","1,754","1,764","1,828","1,856","1,872","1,888"
Gloucestershire,"1,204","1,221","1,234","1,255","1,262","1,273","1,293","1,309","1,315","1,315"
Greenwich,"1,258","1,272","1,282","1,298","1,304",0,"1,312","1,316",0,"1,316"
Hackney,"1,202","1,208","1,212","1,224","1,228","1,230","1,232","1,238","1,244","1,244"
Halton,634,648,660,664,668,672,676,680,682,682
Hammersmith and Fulham,"1,224","1,236","1,240","1,256","1,258","1,260","1,270","1,272","1,274","1,274"
Hampshire,"2,750","2,789","2,843","2,886","2,904","2,924","2,949","2,969","2,978","2,979"
Haringey,"1,090","1,100","1,104","1,116","1,120",0,"1,122","1,128",0,"1,128"
Harrow,"1,810","1,866","1,878","1,888","1,898","1,902","1,930","1,950","1,958","1,958"
Hartlepool,402,424,432,438,444,446,458,460,0,460
Havering,"1,264","1,268","1,276","1,310","1,318","1,322","1,332","1,340","1,342","1,342"
Herefordshire,600,604,610,628,642,650,666,680,696,696
Hertfordshire,"2,304","2,367","2,399","2,435","2,455","2,465","2,474","2,483","2,488","2,488"
Hillingdon,"1,444","1,454","1,460","1,468","1,476","1,480","1,488","1,498","1,500","1,500"
Hounslow,"1,282","1,298","1,332","1,344","1,352","1,356","1,382","1,384","1,388","1,388"
Isle of Wight,232,248,250,274,286,288,296,298,302,304
Islington,822,826,836,844,846,852,856,858,0,858
Kensington and Chelsea,924,0,932,940,944,946,948,950,952,952
Kent,"3,596","3,685","3,756","3,808","3,862","3,895","3,951","4,026","4,050","4,050"
Kingston upon Hull,874,944,"1,002","1,028","1,040","1,060","1,106","1,120","1,130","1,138"
Kingston upon Thames,892,902,926,938,948,952,956,958,0,958
Kirklees,"1,114","1,136","1,162","1,216","1,230","1,240","1,258","1,272","1,278","1,288"
Knowsley,"1,088","1,118","1,142","1,156","1,166","1,174","1,188","1,212",0,"1,212"
Lambeth,"2,262","2,276","2,290","2,310",0,"2,316","2,322","2,326","2,330","2,330"
Lancashire,"2,805","2,847","2,912","2,962","2,982","3,022","3,061","3,091","3,092","3,093"
Leeds,"2,802","2,872","2,914","2,970","3,024","3,044","3,084","3,138","3,152","3,156"
Leicester,"1,318","1,344","1,368","1,380","1,388","1,400","1,442","1,452","1,460","1,460"
Leicestershire,923,944,961,973,980,986,999,"1,009","1,014","1,016"
Lewisham,"1,832","1,840","1,854","1,864","1,872","1,882","1,890","1,898",0,"1,898"
Lincolnshire,836,850,861,875,884,890,902,906,908,908
